[20-Jun-2022 04:37:08 Europe/Berlin] PHP Warning:  require_once(D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples/../src/PhpWord/Autoloader.php): failed to open stream: No such file or directory in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 2
#1 {main}
  thrown in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 120
[20-Jun-2022 03:18:35 UTC] PHP Fatal error:  Cannot use object of type PhpOffice\PhpWord\TemplateProcessor as array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_40_TemplateSetComplexValue.php on line 14
[20-Jun-2022 03:18:49 UTC] PHP Fatal error:  Cannot use object of type PhpOffice\PhpWord\TemplateProcessor as array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_40_TemplateSetComplexValue.php on line 14
[20-Jun-2022 03:48:59 UTC] PHP Warning:  utf8_encode() expects parameter 1 to be string, object given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 268
[20-Jun-2022 03:53:14 UTC] PHP Warning:  utf8_encode() expects parameter 1 to be string, object given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 268
[20-Jun-2022 03:53:54 UTC] PHP Warning:  utf8_encode() expects parameter 1 to be string, object given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 268
[20-Jun-2022 04:31:14 UTC] PHP Notice:  Array to string conversion in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 1079
[20-Jun-2022 04:31:14 UTC] PHP Notice:  Array to string conversion in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 1079
[20-Jun-2022 04:31:14 UTC] PHP Notice:  Array to string conversion in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 1079
[20-Jun-2022 04:58:26 UTC] PHP Warning:  Invalid argument supplied for foreach() in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 298
[20-Jun-2022 04:58:26 UTC] PHP Fatal error:  Call to a member function getElements() on string in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 298
[22-Jul-2022 07:42:46 UTC] PHP Fatal error:  Cannot use object of type PhpOffice\PhpWord\PhpWord as array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_11_ReadWord2007.php on line 11
[22-Jul-2022 07:43:04 UTC] PHP Fatal error:  Cannot use object of type PhpOffice\PhpWord\PhpWord as array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_11_ReadWord2007.php on line 11
[22-Jul-2022 07:46:54 UTC] PHP Fatal error:  Uncaught exception 'Exception' with message 'Cannot find archive file.' in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\Shared\XMLReader.php:52
Stack trace:
#0 D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\Reader\Word2007.php(147): PhpOffice\PhpWord\Shared\XMLReader->getDomFromZip('D:\\xampp-sipp\\h...', '_rels/.rels')
#1 D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\Reader\Word2007.php(112): PhpOffice\PhpWord\Reader\Word2007->getRels('D:\\xampp-sipp\\h...', '_rels/.rels')
#2 D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\Reader\Word2007.php(42): PhpOffice\PhpWord\Reader\Word2007->readRelationships('D:\\xampp-sipp\\h...')
#3 D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\IOFactory.php(93): PhpOffice\PhpWord\Reader\Word2007->load('D:\\xampp-sipp\\h...')
#4 D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php(9): PhpOffice\PhpWord\IOFactory::load(' in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\Shared\XMLReader.php on line 52
[22-Jul-2022 08:02:53 UTC] PHP Notice:  Undefined variable: content in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 15
[22-Jul-2022 08:02:53 UTC] PHP Notice:  Undefined variable: phpWord in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 36
[22-Jul-2022 08:02:53 UTC] PHP Fatal error:  Call to a member function save() on null in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 80
[22-Jul-2022 08:03:40 UTC] PHP Notice:  Undefined variable: phpWord in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 37
[22-Jul-2022 08:03:40 UTC] PHP Fatal error:  Call to a member function save() on null in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 80
[22-Jul-2022 08:08:18 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, object given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 36
[22-Jul-2022 08:08:18 UTC] PHP Notice:  Undefined offset: 1 in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 37
[22-Jul-2022 08:08:18 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 37
[22-Jul-2022 08:08:18 UTC] PHP Warning:  array_merge(): Argument #1 is not an array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 39
[22-Jul-2022 08:08:33 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, object given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 36
[22-Jul-2022 08:08:33 UTC] PHP Notice:  Undefined offset: 1 in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 37
[22-Jul-2022 08:08:33 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 37
[22-Jul-2022 08:08:33 UTC] PHP Warning:  array_merge(): Argument #1 is not an array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 39
[22-Jul-2022 09:05:36 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, object given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 52
[22-Jul-2022 09:05:36 UTC] PHP Notice:  Undefined offset: 1 in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 53
[22-Jul-2022 09:05:36 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 53
[22-Jul-2022 09:05:36 UTC] PHP Warning:  array_merge(): Argument #1 is not an array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 55
[22-Jul-2022 09:09:20 UTC] PHP Fatal error:  Cannot use object of type PhpOffice\PhpWord\TemplateProcessor as array in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 48
[22-Jul-2022 09:09:53 UTC] PHP Fatal error:  Cannot access protected property PhpOffice\PhpWord\TemplateProcessor::$tempDocumentMainPart in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_00_POSBAKUM_G_Cerai_Gugat_Bain.php on line 48
